,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
66,Beta Cancri b,295.0,7.8 Jupiters,2014,Gas Giant,,47.2,True,
67,Beta Pictoris b,64.0,11 Jupiters,2008,Gas Giant,,,False,
68,Beta Pictoris c,64.0,9 Jupiters,2019,Gas Giant,,,False,
69,Beta Ursae Minoris b,127.0,6.1 Jupiters,2014,Gas Giant,,38.3,True,
70,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,2011,Gas Giant,,,False,
71,CHXR 73 b,623.0,12.569 Jupiters,2006,Gas Giant,,,False,
72,CI Tauri b,515.0,11.6 Jupiters,2019,Gas Giant,,,False,
73,CoRoT-10 b,1125.0,2.75 Jupiters,2010,Gas Giant,1.49,1.11,False,393.678212693122
74,CoRoT-11 b,1827.0,2.33 Jupiters,2010,Gas Giant,0.97,0.79,False,787.0343288340952
75,CoRoT-12 b,3751.0,0.917 Jupiters,2010,Gas Giant,1.43,1.37,False,142.52087632647076
76,CoRoT-13 b,3458.0,1.308 Jupiters,2010,Gas Giant,1.44,1.12,False,200.47673611111117
77,CoRoT-14 b,4371.0,7.6 Jupiters,2010,Gas Giant,0.885,1.01,False,3083.9567174183658
78,CoRoT-16 b,2740.0,0.535 Jupiters,2011,Gas Giant,1.09,1.21,False,143.11396347108828
79,CoRoT-17 b,3001.0,2.43 Jupiters,2011,Gas Giant,1.17,1.19,False,564.1775147928995
80,CoRoT-18 b,2838.0,3.47 Jupiters,2011,Gas Giant,1.02,1.59,False,1060.010957324106
81,CoRoT-19 b,2512.0,1.11 Jupiters,2011,Gas Giant,1.31,1.0,False,205.5708874774197
82,CoRoT-1 b,2627.0,1.03 Jupiters,2008,Gas Giant,1.29,1.65,False,196.7157021813593
83,CoRoT-20 b,2819.0,4.3 Jupiters,2011,Gas Giant,1.466,0.91,False,635.8896236476086
84,CoRoT-20 c,2819.0,17 Jupiters,2018,Gas Giant,,,False,
85,CoRoT-21 b,4563.0,2.26 Jupiters,2012,Gas Giant,,,False,
86,CoRoT-22 b,1931.0,12.2 Earths,2014,Neptune-like,1.3,1.95,False,7.218934911242602
87,CoRoT-23 b,1957.0,2.8 Jupiters,2011,Gas Giant,0.435,1.14,False,4702.845818470075
88,CoRoT-24 b,1957.0,5.7 Earths,2014,Neptune-like,1.05,1.61,False,5.170068027210885
89,CoRoT-24 c,1957.0,28 Earths,2014,Neptune-like,0.33,0.86,False,257.1166207529844
90,CoRoT-25 b,3262.0,0.27 Jupiters,2013,Gas Giant,0.44,0.86,False,443.2407024793389
91,CoRoT-26 b,5448.0,0.52 Jupiters,2013,Gas Giant,1.08,1.19,False,141.68930041152262
92,CoRoT-27 b,3377.0,10.39 Jupiters,2014,Gas Giant,1.26,1.79,False,2079.963340891912
93,CoRoT-28 b,1827.0,0.484 Jupiters,2015,Gas Giant,1.007,1.08,False,151.693734720906
94,CoRoT-29 b,2495.0,0.85 Jupiters,2015,Gas Giant,0.955,1.78,False,296.2056961157863
95,CoRoT-2 b,652.0,3.47 Jupiters,2008,Gas Giant,0.9,0.9,False,1361.525185185185
96,CoRoT-30 b,3132.0,2.9 Jupiters,2020,Gas Giant,1.01,1.56,False,903.517302225272
97,CoRoT-31 b,7144.0,0.84 Jupiters,2020,Gas Giant,1.009,0.91,False,262.2274652016883
98,CoRoT-3 b,2218.0,21.66 Jupiters,2008,Gas Giant,1.46,2.15,False,3229.4901482454497
99,CoRoT-4 b,2419.0,0.72 Jupiters,2008,Gas Giant,1.19,1.17,False,161.59197796765767
100,CoRoT-5 b,2951.0,0.467 Jupiters,2009,Gas Giant,1.388,1.19,False,77.04051399812307
101,CoRoT-6 b,2144.0,2.96 Jupiters,2009,Gas Giant,1.166,1.02,False,691.9517842589788
102,CoRoT-7 b,524.0,3.1783 Earths,2009,Super Earth,0.15,0.83,False,141.2577777777778
103,CoRoT-7 c,524.0,8.4 Earths,2009,Neptune-like,,0.83,False,
104,CoRoT-8 b,1240.0,0.22 Jupiters,2010,Gas Giant,0.57,0.77,False,215.20590951061868
